task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	4d/48feea	207748	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2024-06-02 20:44:14.272	662ms	0ms	88.6%	5 MB	13.2 MB	1.5 MB	876 B
1	34/54c5db	207949	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta)	COMPLETED	0	2024-06-02 20:44:14.948	483ms	0ms	87.6%	3.8 MB	11.4 MB	146.2 KB	4.9 KB
2	4e/6730e5	208247	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz)	COMPLETED	0	2024-06-02 20:44:15.441	391ms	14ms	66.7%	0	0	102.6 KB	5 KB
3	08/7d88ad	208473	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed)	COMPLETED	0	2024-06-02 20:44:15.851	651ms	0ms	85.7%	5 MB	13.1 MB	1.5 MB	4.1 KB
9	0b/ed3b07	208717	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5405022)	COMPLETED	0	2024-06-02 20:45:15.523	6s	6s	171.3%	1.3 GB	1.9 GB	36.7 MB	7.5 MB
11	6e/c7bc64	209173	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5743893)	COMPLETED	0	2024-06-02 20:45:21.519	12s	12s	138.0%	1 GB	1.2 GB	36.5 MB	6.4 MB
12	fa/c82d49	209947	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (SRR13500958)	COMPLETED	0	2024-06-02 20:45:33.534	10.9s	11s	123.5%	1.2 GB	1.7 GB	44.8 MB	13.1 MB
6	30/8c1784	210701	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5181310)	COMPLETED	0	2024-06-02 20:45:44.474	12.7s	13s	372.7%	1.6 GB	2.1 GB	80.5 MB	40 MB
10	fa/c14c7e	211457	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5556343)	COMPLETED	0	2024-06-02 20:45:57.213	11.1s	11s	155.2%	1.4 GB	1.9 GB	38.9 MB	9.1 MB
4	26/ef76d5	212260	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2024-06-02 20:47:44.464	1.1s	1s	97.6%	4.9 MB	13.4 MB	3.1 MB	8.3 MB
